client_code,first_name,last_name,email,phone,address,city,department,invoice_number,billing_period,total_amount,paid_amount,invoice_status,transaction_reference,transaction_date,transaction_amount,transaction_type,transaction_status,platform_name
CLI164793,Morgan,Leon,miranda94@yahoo.com,001-853-081-5933x565,853 Virginia Cape Suite 757,Wilsonport,SC,FAC7545,2024-07,160000,159000,PARTIAL,TXN044,2024-07-12 01:00:00,159000,PAYMENT,FAILED,Daviplata
CLI327194,Fernando,Hunt,abigailkelly@johnson.net,5863279231,9609 Conner Track Apt. 859,Kristenberg,MD,FAC9699,2024-07,94554,94554,PAID,TXN045,2024-07-21 21:00:00,94554,PAYMENT,PENDING,Daviplata
CLI962448,Jason,Luna,rodriguezrhonda@yahoo.com,600.123.2569x570,204 Laura Hill,Craigland,OK,FAC2512,2024-07,153659,0,PENDING,TXN046,2024-07-26 11:00:00,152659,PAYMENT,FAILED,Daviplata
CLI523505,Gregory,Howell,david12@young.org,213-496-7129x11054,036 Tyler Groves Suite 302,Danielsfurt,WV,FAC1330,2024-06,165021,0,PENDING,TXN047,2024-06-05 17:00:00,165021,PAYMENT,PENDING,Daviplata
CLI963140,Miguel,Sharp MD,sgeorge@ramos-acevedo.net,001-600-899-5324,47921 Johnson Expressway Suite 742,Oliviaport,PA,FAC9310,2024-07,115066,0,PENDING,TXN048,2024-06-10 10:00:00,115066,PAYMENT,COMPLETED,Daviplata
CLI590875,Stephanie,Acosta,joshuahenderson@pierce-ramos.com,001-365-629-8075x05840,7067 Henderson Knoll,Joshuashire,NJ,FAC9524,2024-06,161529,0,PENDING,TXN049,2024-06-03 20:00:00,161029,PAYMENT,COMPLETED,Daviplata
CLI832528,Julia,Davis,barkerbrent@berg-dougherty.com,674-440-7862,0246 Brown Roads Suite 606,North Luisburgh,WI,FAC7938,2024-07,167924,167924,PAID,TXN050,2024-07-29 03:00:00,167924,PAYMENT,COMPLETED,Nequi
CLI866586,Amy,Woods,paul38@byrd.info,2338512573,247 Sheila Centers,North Troybury,WA,FAC8649,2024-06,147991,0,PENDING,TXN051,2024-07-24 19:00:00,147991,PAYMENT,PENDING,Daviplata
CLI987146,Julie,Dunn,melissawebb@gmail.com,883-656-1878x6532,758 Ruth Mall,Briggstown,MA,FAC4348,2024-07,124048,124048,PAID,TXN052,2024-07-26 11:00:00,124048,PAYMENT,COMPLETED,Nequi
CLI620439,Nicole,Mcdonald,frederickmarshall@evans.biz,+1-692-758-5774x3951,7229 Michelle Forges Suite 411,Hardyview,VT,FAC9905,2024-07,138162,0,PENDING,TXN053,2024-07-13 23:00:00,138162,PAYMENT,COMPLETED,Nequi
CLI613460,Jennifer,Mendoza,susanchapman@gmail.com,203-605-2009x1103,11916 Katherine Creek,Kathleenport,ND,FAC5210,2024-06,161137,161137,PAID,TXN054,2024-06-28 00:00:00,161137,PAYMENT,FAILED,Nequi
CLI962082,Rachel,Fisher,bgarcia@johnson.org,650-424-8808,38507 Newman Loop Suite 268,Tommyberg,UT,FAC8033,2024-06,35669,0,PENDING,TXN055,2024-06-17 03:00:00,35669,PAYMENT,FAILED,Daviplata
CLI088924,Jorge,Thomas,jason19@yahoo.com,921-668-1704x3013,013 Tabitha Cliff,Stevenmouth,NJ,FAC7850,2024-07,68367,0,PENDING,TXN056,2024-07-06 07:00:00,67867,PAYMENT,FAILED,Nequi
CLI982363,Robert,Hicks,powelllarry@hotmail.com,(335)290-8992,1639 Delacruz Park,East Linda,DC,FAC7378,2024-07,58242,0,PENDING,TXN057,2024-07-25 20:00:00,58242,PAYMENT,FAILED,Nequi
CLI147005,Terry,Watson,kaiserwilliam@hotmail.com,(426)053-2668,0047 Lori Square,East Josechester,KS,FAC3104,2024-07,114319,113319,PARTIAL,TXN058,2024-06-09 20:00:00,113319,PAYMENT,PENDING,Nequi
CLI072602,Carlos,Wood,hillwilliam@hotmail.com,440-516-4972x0722,53828 Laura Spurs,Lauraville,DE,FAC2382,2024-06,37708,37708,PAID,TXN059,2024-07-11 23:00:00,37708,PAYMENT,COMPLETED,Daviplata
CLI577216,Richard,Weiss,carla37@gmail.com,521-212-3209x2220,316 Robert Dam,North Christina,MA,FAC6022,2024-07,54969,0,PENDING,TXN060,2024-07-20 16:00:00,54969,PAYMENT,PENDING,Nequi
CLI739719,Sarah,Clark,wsanchez@christian.com,853.981.8171,04967 Nguyen Circle Suite 871,Lake Andrea,New York,FAC3529,2024-06,51911,0,PENDING,TXN061,2024-07-08 23:00:00,51411,PAYMENT,COMPLETED,Daviplata
CLI971718,Briana,Wu,rachelsmith@frey.com,(177)732-3856x95766,534 Campbell View,Sandersland,Florida,FAC1856,2024-06,45733,45233,PARTIAL,TXN062,2024-07-17 05:00:00,45233,PAYMENT,COMPLETED,Nequi
CLI949232,Raven,Jordan,rayalexa@yahoo.com,001-870-036-3211,6132 Spencer Corner Apt. 383,Lake Loriberg,MA,FAC5678,2024-07,100426,0,PENDING,TXN063,2024-06-10 01:00:00,99926,PAYMENT,FAILED,Nequi
CLI768710,Angelica,Gibbs,yarnold@smith-bruce.com,+1-378-867-9488x99135,68574 Coleman Villages Suite 522,North Erikaton,California,FAC7474,2024-07,32072,31572,PARTIAL,TXN064,2024-06-20 12:00:00,31572,PAYMENT,COMPLETED,Nequi
CLI271785,Tammy,Jacobs,scottroger@gmail.com,227.597.0062,57458 Collier Junctions Suite 288,Lake Nicholas,CT,FAC9956,2024-07,123720,0,PENDING,TXN065,2024-06-14 03:00:00,123720,PAYMENT,PENDING,Nequi
CLI901640,Michael,Evans,steven80@yahoo.com,6777129275,921 Ramirez Mount,New Anthonyville,ND,FAC7570,2024-06,17171,0,PENDING,TXN066,2024-07-29 14:00:00,17171,PAYMENT,FAILED,Daviplata
CLI210363,Tony,Pham,kendrapena@yahoo.com,001-094-782-5703,Unit 3715 Box 5620,DPO,AA,FAC2909,2024-06,57259,0,PENDING,TXN067,2024-07-23 09:00:00,56259,PAYMENT,FAILED,Daviplata
CLI962875,Miss,Carrie Underwood,amy45@hotmail.com,0792914312,USNV Morris,FPO,AA,FAC2139,2024-07,197548,0,PENDING,TXN068,2024-06-20 22:00:00,196548,PAYMENT,FAILED,Daviplata
CLI950954,Ryan,Russell,michael78@walters.com,001-266-212-7928x22281,70003 Tiffany Drives,Robertchester,IA,FAC8752,2024-06,93635,0,PENDING,TXN069,2024-06-20 18:00:00,93635,PAYMENT,COMPLETED,Daviplata
CLI811583,Kimberly,Bennett,smithmichelle@gmail.com,(083)724-9058x016,70851 Daniel Station Apt. 975,Hernandezton,IL,FAC8107,2024-07,58585,58585,PAID,TXN070,2024-07-15 21:00:00,58585,PAYMENT,COMPLETED,Daviplata
CLI866597,Joshua,Neal,wheelerbrandon@hotmail.com,001-256-341-5493x0374,1324 William Glens,New Jenniferland,IL,FAC7475,2024-06,87244,0,PENDING,TXN071,2024-06-06 18:00:00,86244,PAYMENT,COMPLETED,Daviplata
CLI010345,Robert,Rodriguez,steven70@gmail.com,562-175-6225x4306,9483 Patricia Greens Suite 612,West Daniel,CT,FAC3660,2024-06,55572,0,PENDING,TXN072,2024-07-18 20:00:00,55572,PAYMENT,FAILED,Nequi
CLI064128,Blake,Ford,wrightsally@hotmail.com,276-740-5323x764,933 Casey Court Apt. 193,Lake Douglas,AL,FAC9573,2024-06,51213,50713,PARTIAL,TXN073,2024-06-21 06:00:00,50713,PAYMENT,FAILED,Nequi
CLI426912,Chad,Garcia,john27@schaefer.com,(530)211-7419,195 Rollins Land Suite 478,North Angelastad,IN,FAC2238,2024-06,129980,129480,PARTIAL,TXN074,2024-06-29 18:00:00,129480,PAYMENT,COMPLETED,Nequi
CLI039328,Autumn,Webb,davidreed@hotmail.com,907-357-6151x4325,198 Frazier Branch Suite 399,South Sharon,AR,FAC6979,2024-06,42157,41657,PARTIAL,TXN075,2024-07-03 20:00:00,41657,PAYMENT,COMPLETED,Daviplata
CLI067343,Elizabeth,Singleton,jeffreyhahn@dawson-myers.biz,173.672.3805,87020 Horton Valleys,Rodriguezfurt,WV,FAC8740,2024-06,127084,0,PENDING,TXN076,2024-06-15 11:00:00,126084,PAYMENT,COMPLETED,Daviplata
CLI387701,Sarah,Thompson,williamchavez@yahoo.com,+1-444-121-3206x307,Unit 0218 Box 2805,DPO,AA,FAC9872,2024-06,191436,0,PENDING,TXN077,2024-06-04 07:00:00,190936,PAYMENT,FAILED,Nequi
CLI405632,Sarah,Martin,earllee@gmail.com,406-810-6283,5963 Strong Points,Lake Kayla,SC,FAC9634,2024-06,78561,78561,PAID,TXN078,2024-06-21 21:00:00,78561,PAYMENT,FAILED,Nequi
CLI585472,Pamela,Herrera,cardenasthomas@yahoo.com,539.557.9029,3416 Gregory Rapids Suite 629,North Nicolehaven,IL,FAC9210,2024-06,163844,162844,PARTIAL,TXN079,2024-07-23 11:00:00,162844,PAYMENT,COMPLETED,Nequi
CLI960117,Shannon,Horn,brian88@pitts-bush.com,(297)388-2854,USNS Buchanan,FPO,AA,FAC3888,2024-07,80735,0,PENDING,TXN080,2024-06-29 15:00:00,80235,PAYMENT,FAILED,Nequi
CLI043010,Christopher,Edwards,pmcclain@castro-humphrey.com,(204)535-1285x920,32230 Jeffery Via Apt. 616,West Tanya,WA,FAC7110,2024-06,158138,0,PENDING,TXN081,2024-06-18 00:00:00,158138,PAYMENT,PENDING,Daviplata
CLI481119,Brandon,Hester,huertatracie@yahoo.com,836.687.2362x166,0169 Summers Vista,West Stuart,UT,FAC5649,2024-06,102093,101593,PARTIAL,TXN082,2024-06-06 15:00:00,101593,PAYMENT,PENDING,Daviplata
CLI800533,Mariah,Jackson,eperry@wilson.com,(382)120-4674,558 Bryan Isle,New Raymond,AL,FAC1490,2024-07,104241,103741,PARTIAL,TXN083,2024-06-22 03:00:00,103741,PAYMENT,PENDING,Daviplata
CLI953650,Carol,Lawson,joneskelsey@hotmail.com,783.291.2840,747 Miller Point,Georgeton,UT,FAC5439,2024-06,41300,0,PENDING,TXN084,2024-07-04 02:00:00,41300,PAYMENT,PENDING,Daviplata
CLI712035,Heather,Collins,thomashansen@hotmail.com,+1-960-564-8502x177,7878 Nelson Stravenue,New Jacob,NE,FAC4962,2024-06,90456,0,PENDING,TXN085,2024-06-19 11:00:00,89956,PAYMENT,COMPLETED,Daviplata
CLI103750,Joshua,Delgado,greenbrandon@gmail.com,101-802-6501x00181,741 Morgan Underpass,South Sheila,IL,FAC8801,2024-07,165402,165402,PAID,TXN086,2024-07-13 05:00:00,165402,PAYMENT,COMPLETED,Nequi
CLI865303,Jerry,Greene,jay56@white-wiggins.com,(703)649-5080x4789,60823 Lauren Wall Apt. 074,New Kellyside,MI,FAC1904,2024-06,107189,106689,PARTIAL,TXN087,2024-07-04 09:00:00,106689,PAYMENT,PENDING,Nequi
CLI813998,Connor,Wagner,haley03@boyd-harris.com,0195959907,506 Brandy Rapid,Dawsonberg,RI,FAC7503,2024-07,23411,22411,PARTIAL,TXN088,2024-06-14 11:00:00,22411,PAYMENT,COMPLETED,Nequi
CLI434130,Marcia,Randolph,huntrussell@smith.com,508.559.9292,327 Roberts Neck,Gonzalezshire,WA,FAC7561,2024-06,11359,11359,PAID,TXN089,2024-06-27 05:00:00,11359,PAYMENT,PENDING,Daviplata
CLI362405,John,Price,daniel62@powell.com,546-202-9331x88558,"PSC 5622, Box 3709",APO,AA,FAC5390,2024-06,79808,0,PENDING,TXN090,2024-06-08 10:00:00,79808,PAYMENT,PENDING,Nequi
CLI561637,Bill,Hopkins,briannaweeks@gmail.com,288-662-8572,54675 Matthew Key,Torresstad,ME,FAC1760,2024-07,43148,42648,PARTIAL,TXN091,2024-07-05 21:00:00,42648,PAYMENT,PENDING,Nequi
CLI287266,Ryan,Harrison,carrie64@hotmail.com,001-320-723-6362x5909,66252 Trevor Harbor Apt. 887,Lake Ambertown,TN,FAC3395,2024-06,102468,0,PENDING,TXN092,2024-06-03 05:00:00,101468,PAYMENT,PENDING,Daviplata
CLI230218,Donald,Young,stanleyhall@hotmail.com,929-112-6985x483,223 Dawson Mall Suite 571,Smithburgh,MS,FAC1926,2024-06,116488,0,PENDING,TXN093,2024-06-21 17:00:00,115488,PAYMENT,PENDING,Daviplata
CLI310607,Louis,Gilbert,pgreene@hotmail.com,461.203.7672x451,530 Brown Corner,Thompsontown,WV,FAC7521,2024-07,61920,0,PENDING,TXN094,2024-07-26 00:00:00,61920,PAYMENT,COMPLETED,Daviplata
CLI413369,Marcus,Martin,jamesjenkins@harmon-randall.com,+1-071-678-3536x79738,"PSC 6227, Box 1600",APO,AP,FAC6693,2024-07,142010,141510,PARTIAL,TXN095,2024-07-23 20:00:00,141510,PAYMENT,FAILED,Nequi
CLI461933,Sharon,Ingram,seanbishop@yahoo.com,270.214.8473x8548,132 Vargas Turnpike,Danielbury,DE,FAC1513,2024-06,39792,39792,PAID,TXN096,2024-07-08 19:00:00,39792,PAYMENT,PENDING,Daviplata
CLI660425,Kyle,Martinez,haleronald@vargas-hernandez.info,676-110-6562x32575,USS Greene,FPO,AA,FAC3039,2024-07,88189,0,PENDING,TXN097,2024-07-09 05:00:00,87689,PAYMENT,COMPLETED,Daviplata
CLI449840,Elizabeth,Rodriguez,kathyrodriguez@thompson.biz,(677)161-5260x6354,3551 Rodriguez Port Apt. 808,Lake Charles,WI,FAC3709,2024-06,179739,0,PENDING,TXN098,2024-07-06 00:00:00,178739,PAYMENT,FAILED,Nequi
CLI844640,Christopher,Gomez,marcus34@hotmail.com,001-066-886-7181x1777,875 Jennifer Oval Suite 067,West Phillipmouth,IL,FAC3914,2024-06,106611,0,PENDING,TXN099,2024-07-27 10:00:00,105611,PAYMENT,FAILED,Daviplata
CLI106189,Brian,Morton,garnold@bender-caldwell.com,+1-352-961-6835x0739,431 Rodriguez Estate Suite 894,New Christopherview,TN,FAC8875,2024-06,142787,141787,PARTIAL,TXN100,2024-07-11 07:00:00,141787,PAYMENT,FAILED,Daviplata
